Ингредиенты, 100 гА-Я;Калории, ккал;Белки, г;Жиры, г;Углеводы, г
Карамельный соус;323ккал;3г;7г;58г
Гвоздика;323ккал;6г;20г;27г
Перец чили сушеный;318ккал;12г;17г;29г
Перец красный молотый;318ккал;12г;17г;29г
Маршмеллоу;318ккал;1.8г;0.2г;81г
Сыр творожный;317ккал;7г;31г;3г
Таледжио;315ккал;19г;26г;1г
Крупа перловая;315ккал;9г;1г;66г
Манго сушеное;314ккал;1.5г;0.8г;82г
Крахмал;313ккал;0.1г;0г;78г
Лавровый лист;313ккал;8г;8.4г;49г
Кардамон молотый;311ккал;11г;7г;68г
Филе утки;308ккал;14г;29г;0г
Утка тушка;308ккал;14г;29г;0г
Крупа гречневая;308ккал;13г;3г;57г
Клюква сушеная;308ккал;0.1г;1.4г;77г
Мёд;304ккал;0.3г;0г;82г
Ветчина пармская;300ккал;24г;23г;1.1г
Сосиски;300ккал;11г;28г;1г
Сыр плавленый;300ккал;21г;23г;3г
Хумус;300ккал;10г;20г;21г
Фасоль красная;298ккал;21г;2г;47г
Горох колотый;298ккал;21г;2г;50г
Мука ржаная;298ккал;9г;1.7г;62г
Кориандр;298ккал;12г;18г;13г
Моцарелла для сэндвичей;297ккал;24г;23г;3г
Моцарелла в кубиках;297ккал;23г;24г;0г
Безлактозная моцарелла;297ккал;28г;17г;3г
Моцарелла для пиццы;297ккал;23г;24г;0г
Оливки;296ккал;1.6г;24г;19г
Перец белый молотый;296ккал;10г;2г;42г
Чечевица;295ккал;24г;1.5г;46г
Тархун сушеный;295ккал;23г;7г;43г
Фарш говяжий;293ккал;16г;25г;0г
"Приправа ""Пять специй""";290.6ккал;10.9г;11.6г;62.4г
Вишня сушеная;290ккал;1.5г;0г;73г
Сливовый джем;288ккал;0.4г;0.3г;74г
Экстракт ванили;288ккал;0.1г;0.1г;13г
Ванилин;288ккал;0.1г;0.1г;13г
Ваниль в стручках;287ккал;1.2г;0.1г;13г
Грибы белые сушеные;286ккал;30г;14г;9г
Сулугуни в палочках;286ккал;21г;22г;0.4г
Сулугуни для хачапури;286ккал;21г;22г;0.4г
Сулугуни;286ккал;21г;22г;0.4г
Лепешка тортилья;286ккал;7г;8г;47г
Варенье клубничное;285ккал;0.3г;0.1г;74г
Фарш бараний;282ккал;17г;23г;0г
Паприка молотая;282ккал;14г;13г;54г
Ветчина;280ккал;23г;21г;0г
Хлеб серый;280ккал;10г;3г;51г
Индейка;276ккал;20г;22г;0г
Тимьян;276ккал;9г;7г;64г
Абрикосовый джем;276ккал;0.5г;0г;71.6г
Тимьян сушеный;276ккал;9г;7г;64г
Лаваш;275ккал;9г;1.2г;54г
Варенье малиновое;273ккал;0.6г;0.2г;70г
Булка для бургера;272ккал;7г;4г;52г
Майоран;271ккал;13г;7г;61г
Моцарелла в палочках;270ккал;28г;17г;3г
Моцарелла классическая;270ккал;28г;17г;3г
Моцарелла мини;270ккал;22г;18г;2г
Робиола;269ккал;12г;25г;0г
Хлеб тостовый;268ккал;8г;3г;52г
Орегано;265ккал;9г;4г;69г
Орегано сушеный;265ккал;9г;4г;69г
Фета;264ккал;14г;21г;4г
Изюм;264ккал;3г;0.6г;66г
Фрикадельки;263ккал;29г;16г;1г
Свинина;263ккал;17г;21г;0г
Перец горошком;263ккал;6г;9г;72г
Брынза;262ккал;21г;19г;0.4г
Чиабатта;262ккал;8г;4г;48г
Сироп кленовый;261ккал;0г;0г;67г
Корица в палочках;261ккал;4г;2г;57г
Багет;260ккал;8г;3г;51г
Хлеб белый;259ккал;8г;3г;50г
Прованские травы;259ккал;12г;7г;26г
Томаты вяленые;258ккал;14г;3г;43г
Персиковый джем;258ккал;0.5г;0г;67г
Корж бисквитный;258ккал;6г;0.8г;56г
Савоярди;258ккал;6г;0.8г;56г
Колбаса вареная;257ккал;13г;22г;1.5г
Варенье вишневое;256ккал;0г;0г;64г
Чернослив;256ккал;2г;0.7г;58г
Перец черный молотый;255ккал;11г;3г;38г
Шоколадный соус;255ккал;3г;5г;49г
Черкесский сыр;254ккал;18г;16.5г;г
Сыр сливочный;253ккал;5г;24г;3г
Брусничный джем;250ккал;0.8г;0.7г;59г
Икра красная;249ккал;32г;13г;1г
Шоколадно-ореховая рикотта;248ккал;6.5г;17.6г;16г
Кремчиз с томатами;248ккал;4.8г;24г;3.3г
Корица молотая;247ккал;4г;1г;81г
Кремчиз с зеленью;245ккал;4.8г;24г;2.5г
Кремчиз с паприкой;244ккал;4.8г;24г;3.3г
Оливки с миндалем;244ккал;4г;24г;4г
Тарталетки;242ккал;9г;16г;43г
Пита;242ккал;7г;0.8г;50г
Хамон;241ккал;35г;16г;1.3г
Бастурма;240ккал;15г;20г;0г
Кавказский сыр;240ккал;18г;11г;0г
Сумах;239ккал;10г;9г;28г
Коньяк;239ккал;0г;0г;1.5г
Курица тушка;238ккал;18г;18г;0г
Качорикотта;238ккал;16г;18г;3г
Четук;238ккал;16г;18г;0г
Гриссини;238ккал;7г;6г;40г
Варенье абрикосовое;236ккал;0г;0г;62г
Пшеничная булка;235ккал;8г;1г;48г
Базилик сушеный;233ккал;23г;4г;48г
Сушенный базилик;233ккал;23г;4г;48г
Тесто для вонтонов;232ккал;8г;1.4г;51г
Курага;232ккал;5г;0.3г;51г
Мороженое шоколадное;231ккал;4г;15г;20г
Рисовое вино;230ккал;0г;0г;57г
Шоколадная рикотта;228ккал;5г;13г;23г
Цельнозерновая булка;228ккал;9г;1.4г;45г
Фарш свиной;221ккал;15г;17г;0г
Медовая рикотта;220ккал;7г;12г;21г
Пенне;220ккал;9г;1.3г;46г
Булка с отрубями;220ккал;8г;2г;44г
Ром темный;220ккал;0г;0г;0г
Трубочки вафельные;218ккал;4г;12г;22г
Отруби пшеничные;216ккал;16г;4г;65г
Сухофрукты;216ккал;3г;0г;51г
Цукаты;216ккал;3г;0г;55г
Черничный джем;214ккал;0.4г;0.2г;56г
Баранина;209ккал;16г;16г;0г
Качокавалло;209ккал;23г;13г;0г
Авокадо;208ккал;2г;20г;7г
Филе сельди;207.8ккал;17.58г;15.12г;1.2г
Сливки 20%;207ккал;3г;20г;4г
Сметана;206ккал;3г;20г;3г
Сайра;205ккал;20г;14г;0г
Хлеб черный;201ккал;8г;1.4г;38г
Говядина;198ккал;17г;14г;0г
Ванильная рикотта;198ккал;9г;9.5г;19г
Тунец консервированный;198ккал;29г;8г;0г
Апельсиновый ликер;197ккал;0г;0г;20г
Хлеб бездрожжевой;195ккал;6.2г;1.8г;40.7г
Корейка ягненка;192ккал;16г;14г;0г
Горбуша копченая;190ккал;22г;11г;2г
Конфитюр клубничный;189ккал;1г;0.2г;40г
Красная рыба соленая;187ккал;21г;11.6г;г
Сицилийская рикотта;187ккал;8.7г;15.1г;4г
Куриное бедро;185ккал;21г;11г;0.1г
Курица копченая;184ккал;27г;8г;0.02г
Крольчатина;183ккал;21г;11г;0г
Каштан жареный;182ккал;3г;2г;48г
Клюквенный джем;180ккал;0г;0г;45г
Язык говяжий;173ккал;16г;12г;2г
Ростки гороха;173ккал;13г;1г;29г
Брезаола;171ккал;34г;4г;0.75г
Яйца перепелиные;168ккал;12г;13г;0.6г
Соус барбекю;166ккал;0.6г;0.7г;39г
Портвейн белый;163ккал;0.4г;0г;12г
Лосось копченый;162ккал;22г;8г;0г
Куриные сердечки;159ккал;16г;10г;0.8г
Бальзамический соус;159ккал;0.1г;0г;38г
Яйца куриные;157ккал;13г;12г;0.7г
Ньокки;156ккал;4.3г;0.3г;33.3г
Филе лосося;153ккал;20г;8г;0г
Чеснок свежий;149ккал;7г;0.5г;30г
Горчица дижонская;143ккал;10г;13г;5г
Палтус;142ккал;19г;1.3г;0г
Стейк семги;140ккал;21.6г;6г;0г
Филе горбуши;140ккал;21г;7г;0г
Пастрами;140ккал;22г;5г;1.3г
Рикотта;140ккал;11г;13г;3г
Филе тунца;139ккал;24г;5г;0г
Куриная печень;138ккал;20г;6г;0.37г
Творог;136ккал;21г;4г;3г
Анчоусы филе;135ккал;20г;6г;0г
Розмарин;131ккал;3г;6г;7г
Бобы эдамаме;129ккал;13г;6г;11г
Морской коктейль;124ккал;2г;7г;1.8г
Устричный соус;121ккал;3г;0г;21г
Соус чили;120ккал;2.5г;0.3г;30г
Тайский соус;120ккал;3г;0.3г;30г
Сливки 10%;119ккал;2.7г;10г;5г
Артишоки консервированные;116ккал;6г;4г;19г
Маслины без косточек;115ккал;0.8г;11г;6г
Куриная грудка;113ккал;24г;2г;0.4г
Мороженое;113ккал;5г;8г;6г
Сердце говяжье;112ккал;18г;4г;0.14г
Васаби;109ккал;5г;0.63г;24г
Горчица зернистая;105ккал;8г;3г;12г
Бальзамический уксус;104ккал;0.5г;0г;21г
Филе окуня;103ккал;18г;3г;0г
Зернистая рикотта;103ккал;14.5г;9г;0г
Сорбет;102ккал;0.5г;0.04г;25г
Томатная паста;102ккал;5г;0г;19г
Сибас;99ккал;18г;3г;0г
Ветчина из индейки;99ккал;11г;3г;7г
Фасоль консервированная;99ккал;7г;0.3г;17г
Креветки;98ккал;21г;1.6г;0.3г
Телятина;97ккал;20г;2г;0г
Кетчуп;97ккал;1.74г;0.31г;25г
Крабовое мясо;96ккал;16г;4г;0г
Банан;96ккал;1.5г;0.5г;21г
Соус для энчиладос;96ккал;г;г;г
Фасоль в томате;92ккал;6г;0.5г;16г
Раки консервированные;92ккал;20.1г;1.3г;1г
Пассата;92ккал;0.7г;8г;6г
Индейка копченая;91ккал;15г;3г;1г
Креветки тигровые;89ккал;19г;0.6г;0г
Филе форели;88ккал;18г;2г;0г
Гребешки;88ккал;17.5г;2г;1г
Тыквенное пюре;88ккал;1.7г;6г;6г
Апельсиновое желе;88ккал;3г;0.02г;20г
Лимонное желе;88ккал;2.8г;0г;20.3г
Карась;87ккал;17.7г;1.8г;0г
Полента;87ккал;3г;1.7г;16г
Кукуруза;86ккал;3г;1.35г;19г
Филе камбалы;85ккал;18г;1.3г;0г
Ванильный пудинг;85ккал;3г;3г;12г
Облепиха;82ккал;1.2г;5г;6г
Корень имбиря;80ккал;7г;7г;63г
Разрыхлитель;79ккал;0.1г;0г;20г
Сальса;78ккал;0.8г;0.1г;18г
Картофель;77ккал;2г;0.4г;16г
Лук-шалот;72ккал;3г;0.1г;17г
Гранат;72ккал;0.7г;0.6г;15г
Виноград;72ккал;0.6г;0.6г;15г
Горох замороженный;72ккал;6г;0.4г;16г
Яблоки красные;71ккал;0.4г;0.2г;19г
Мята;70ккал;4г;0.9г;7г
Ворчестерский соус;70ккал;1г;0.1г;15г
